"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"The Archers","Adventure,Text","If they put you in charge of The Archers, how would you change life in Ambridge? Here's your chance to find out. In this 4-part illustrated text game, you are the story editor, making the plot decisions. You're in charge, but you'll have to face the consequences of your decisions. They may cause a stir in The Bull - or in Broadcasting House. Watch out for memos from the Controller Radio 4 and see how you fare in the charts!","n/a","n/a","n/a","Level 9 Computing","1987 ","http://www.gamefaqs.com/bbc/950355-the-archers"
"Arena 3000","Action,Shooter,Static","Arena 3000 is an Action game, developed and published by MicroDeal,which was released in Europe in 1983.","n/a","n/a","n/a","MicroDeal","1983 ","http://www.gamefaqs.com/bbc/950227-arena-3000"
"Arkanoid","Action,General","&quot;The time and era of this story is unknown. After the mothership &quot;ARKANOID&quot; was destroyed, a spacecraft &quot;Vaus&quot; scrambled away from it. But only to be trapped in space warped by someone...&quot;Shatter the walls of the space system in 33 amazing rounds of a fight for survival! Control the &quot;Vaus&quot;, a space vessel that acts as your paddle, in an attempt to break all the colored bricks without the ball falling off the playing field. Break all the bricks to advance to the next challenging level, collecting power-ups along the way!","n/a","n/a","n/a","Imagine","1987 ","http://www.gamefaqs.com/bbc/950228-arkanoid"
"Around the World in 40 Screens","Miscellaneous,Puzzle,General","Around the World in 40 Screens is a Miscellaneous game, developed and published by Superior Software,which was released in Europe in 1987.","n/a","9.0","n/a","Superior Software","1987 ","http://www.gamefaqs.com/bbc/947259-around-the-world-in-40-screens"
"Asteroid Storm","Action,Shooter,Static","Asteroid Storm is an Action game, developed and published by Micro Power,which was released in Europe in 1982.","n/a","n/a","n/a","Micro Power","1982 ","http://www.gamefaqs.com/bbc/949664-asteroid-storm"
"Asteroids Deluxe","Action,Shooter,Static","This is the sequel to the infamous Atari&reg; classic, Asteroids&reg; where you must blast all the asteroids to pieces in the given time. Sounds familiar but this time there are deadly enemies such as UFOs and Killer Satellites, which will chase and shoot at you as you try to complete your quest. Use your shield to protect you against a fatal collision but use it sparingly as this shield will deplete every time your ship is hit. Help is at hand in the form of pickups, which will emerge from the debris of the destroyed asteroids. They can give you more blasting power and provide you with extra time to cope with the onslaught of attacks.Asteroids&reg; Deluxe&trade; contains all the action of the original and more with new and improved graphics, faster game play, dangerous enemies and as much master-blasting fun as you can handle. You only have 3 lives and a limited time - use it well!","n/a","n/a","n/a","Atari","1984 ","http://www.gamefaqs.com/bbc/950053-asteroids-deluxe"
"Astro Blaster","Action,Shooter,Static","Astro Blaster is an Action game, developed and published by Hitech Games Plus,which was released in Europe in 1984.","n/a","n/a","n/a","Hitech Games Plus","1984 ","http://www.gamefaqs.com/bbc/950679-astro-blaster"
"Astro Navigator","Simulation,Sci-Fi,Small Spaceship","Astro Navigator is a Simulation game, developed and published by Micro Power,which was released in Europe in 1982.","n/a","n/a","n/a","Micro Power","1982 ","http://www.gamefaqs.com/bbc/949665-astro-navigator"
"Astro Plumber","Action,General","Astro Plumber is an Action game, developed and published by Blue Ribbon,which was released in Europe in 1985.","n/a","n/a","n/a","Blue Ribbon","1985 ","http://www.gamefaqs.com/bbc/950136-astro-plumber"
"Atic Atac","Action,General","Atic Atac is an Action game, developed and published by Ultimate Play The Game,which was released in Europe in 1983.","n/a","7.0","n/a","Ultimate Play The Game","1983 ","http://www.gamefaqs.com/bbc/950442-atic-atac"
"Atlantis","Action,Shooter,Scrolling","Atlantis is an Action game, developed and published by Icon Software,which was released in Europe in 1982.","n/a","n/a","n/a","Icon Software","1982 ","http://www.gamefaqs.com/bbc/950680-atlantis"
"Atomic Protector","Action,General","Atomic Protector is an Action game, developed and published by Optima,which was released in Europe in 1983.","n/a","n/a","n/a","Optima","1983 ","http://www.gamefaqs.com/bbc/950387-atomic-protector"
"Attack On Alpha Centauri","Action,Shooter,Static","Attack On Alpha Centauri is an Action game, developed and published by Software Invasion,which was released in Europe in 1983.","n/a","6.0","n/a","Software Invasion","1983 ","http://www.gamefaqs.com/bbc/950422-attack-on-alpha-centauri"
"Auf Wiedersehen Pet","Action,General","Auf Wiedersehen Pet is an Action game, developed and published by Tynesoft,which was released in Europe in 1984.","n/a","n/a","n/a","Tynesoft","1984 ","http://www.gamefaqs.com/bbc/950443-auf-wiedersehen-pet"
"Aviator","Simulation,Flight,WWII","Aviator is a Simulation game, developed and published by Acornsoft,which was released in Europe in 1983.","n/a","n/a","n/a","Acornsoft","1983 ","http://www.gamefaqs.com/bbc/949288-aviator"
"Awari","Strategy,General","Awari is a Strategy game, developed and published by CSL Microdata,which was released in Europe in 1983.","n/a","n/a","n/a","CSL Microdata","1983 ","http://www.gamefaqs.com/bbc/950501-awari"
"Ballistix","Action,General","Sick of silly old soccer? Tired of pathetic pinball? Then you need a dose of Ballistix - the fastest, wackiest, toughest ball game yet to appear on a computer. Ballistix just explodes with excitement, puzzles and an amazing 130 different screens of frenetic action! The aim of the game is simple: score more goals than your opponent to win the match. Doing it is a different matter as splitters fill the screen with dozens of balls, tunnels hide them from view, bumpers bounce balls all over the show, fiendish red arrows speed them up to almost impossible velocity, magnets pull them away from your control, and much, much more. You can play against the computer or another player, set the speed if you can't stand the pace, define where the balls are fired and their velocity, rack up bonuses that will get you extra goals and then, at the end of an exhausting game, set your name in pride of place on the high-score table.","n/a","n/a","n/a","Superior Software","1989 ","http://www.gamefaqs.com/bbc/949459-ballistix"
"Balloon Buster","Miscellaneous,Puzzle,General","Buster the Clown enjoys a good laugh and something that gets him chuckling is bursting balloons. His latest challenge is to burst balloons in a set sequence. Unfortunately his colous blindness prevents him from getting a high schore. He needs help, your help. So do the red nose and join him in this hilarious balloon busting escapade!","n/a","n/a","n/a","Blue Ribbon","1989 ","http://www.gamefaqs.com/bbc/950137-balloon-buster"
"Banana Man","Action,General","Banana Man is an Action game, developed and published by MRM,which was released in Europe in 1983.","n/a","n/a","n/a","MRM","1983 ","http://www.gamefaqs.com/bbc/950681-banana-man"
"Bandit","Action,Shooter,Static","Bandit is an Action game, developed and published by Acornsoft,which was released in Europe in 1983.","n/a","n/a","n/a","Acornsoft","1983 ","http://www.gamefaqs.com/bbc/949289-bandit"
"Bandits","Action,Shooter,Static","Bandits is an Action game, developed and published by Oak,which was released in Europe in 1983.","n/a","n/a","n/a","Oak","1983 ","http://www.gamefaqs.com/bbc/950328-bandits"
"Bandits At 3 O'Clock","Simulation,Flight,WWII","Bandits At 3 O'Clock is a Simulation game, developed and published by Micro Power,which was released in Europe in 1983.","n/a","n/a","n/a","Micro Power","1983 ","http://www.gamefaqs.com/bbc/949666-bandits-at-3-oclock"
"Banjax","Adventure,General","Banjax is an Adventure game, developed and published by Robico,which was released in Europe in 1985.","n/a","n/a","n/a","Robico","1985 ","http://www.gamefaqs.com/bbc/950388-banjax"
"Bar Billiards","Sports,Alternative,Other","Bar Billiards is a Sports game, developed and published by Blue Ribbon,which was released in Europe in 1987.","n/a","n/a","n/a","Blue Ribbon","1987 ","http://www.gamefaqs.com/bbc/950138-bar-billiards"
"Barbarian","Action,General","Can you become Hegor the famous dragon-slaying, monster-mangling Barbarian? Are you the warrior who can enter the fearful realms of the underground world of Durgan, a world terrorized by the evil Necron? Can you handle the adventure, the frenzied attacks, the hidden traps, the gruesome death-dealing monsters? Your quest: to destroy the lair of the acursed Necron. Your prize: the kingdom's crown. Your task is awesome! You must live on your wits, conquer your innermost fears, and use every skill and weapon available to you. Hideous perils await. Can you survive?","n/a","6.0","n/a","Superior Software","1987 ","http://www.gamefaqs.com/bbc/949460-barbarian"
"Barbarian 2","Action,Fighting,2D","At the finale of BARBARIAN - THE ULTIMATE WARRIOR, the Barbarian defeated the warriors of Drax and thus saved Princess Mariana from his evil spell. Drax fled to the dungeons beneath his black castle, vowing to wreak disaster on the Jewelled Kingdom. There is only one way to stop Drax - the Barbarian and Mariana are the only two warriors skilled enough to survive the perilous journey to Drax's lair. Can you stop him? You must stop him!","n/a","6.0","n/a","Superior Software","1989 ","http://www.gamefaqs.com/bbc/949461-barbarian-2"
"Baron","Action,General","Baron is an Action game, developed and published by Superior Software,which was released in Europe in 1989.","n/a","n/a","n/a","Superior Software","1989 ","http://www.gamefaqs.com/bbc/949462-baron"
"Battle Of Britain","Simulation,Flight,WWII","Battle Of Britain is a Simulation game, developed and published by Betasoft,which was released in Europe in 1984.","n/a","n/a","n/a","Betasoft","1984 ","http://www.gamefaqs.com/bbc/950160-battle-of-britain"
"Battle Planet","Action,Shooter,Scrolling","Battle Planet is an Action game, developed and published by ISP,which was released in Europe in 1984.","n/a","n/a","n/a","ISP","1984 ","http://www.gamefaqs.com/bbc/950308-battle-planet"
