"Title","Region","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL"
"Dragon Ball","US","Role-Playing,General","Dragon Ball is a Role-Playing game, developed by TOSE and published by Bandai,which was released in Japan in 2003.","6.0","8.7","n/a","TOSE","Nov 20, 2003 ","http://www.gamefaqs.com/wsc/918909-dragon-ball"
"Final Fantasy","US","Role-Playing,Console-style RPG","An evil shroud covers the world in darkness. You must restore the powers of earth, wind, fire and water to the Four Orbs. Create your own band of 4 Light Warriors from fighters, thieves, martial artists, and magicians. You'll need all their skills to triumph in this massive role-playing adventure. Your treaterous journey takes you to all parts of a strange new world. Explore dangerous castles and dark caverns where dadly perils and great rewards, await at every turn. Hundreds of ferocious monsters block your path. With patience, skill, and cunning, you can defeat them.","9.4","7.9","","SquareSoft","Dec9, 2000 ","http://www.gamefaqs.com/wsc/562985-final-fantasy"
"Final Fantasy II","US","Role-Playing,Console-style RPG","FINAL FANTASY IIFINAL FANTASY II is highly anticipated follow-up to the original FINAL FANTASY, released in Japan in 1988.The game features the bitter and beautiful tale of four war-orphaned heroes who become embroiled in a conflict between the hostile Empire of Palamecia and the rebel resistance. By eschewing conventional leveling for a proficiency system that allows players to tailor their characters' growth and incorporating a key term memory system that makes dialogue integral to gameplay, this game sparked the spirit of innovation for which the series has become known.This release also contains the bonus dungeons added to later editions of the game--the Soul of Rebirth and the Arcane Labyrinth.Additional Information (reference only):ESRB Rating: E10+ with Alcohol Reference, Mild Fantasy Violence, Mild Language and Mild Suggestive Themes","8.8","7.8","n/a","SquareSoft","May2, 2001 ","http://www.gamefaqs.com/wsc/580423-final-fantasy-ii"
"Final Fantasy III","US","Role-Playing,Console-style RPG","First released in 1990, FINAL FANTASY III introduced series hallmarks such as the job system and summon spells, and became the first in the series to sell over a million copies. Reborn in full 3D in 2006, this classic installment of the FINAL FANTASY series is now available for the PSP (PlayStation Portable) system! Graphics have been re-adjusted to fit the 16:9 aspect ratio, and new features such as the sound and image gallery, an option to switch to the original BGM and an 'auto-battle' system that doubles the speed of combat, have been added!","","","","SquareSoft","Canceled ","http://www.gamefaqs.com/wsc/580424-final-fantasy-iii"
"Final Fantasy IV","US","Role-Playing,Console-style RPG","Final Fantasy IV is a Role-Playing game, developed by Sting and published by SquareSoft,which was released in Japan in 2002.","8.0","8.5","n/a","Sting","Mar 29, 2002 ","http://www.gamefaqs.com/wsc/566642-final-fantasy-iv"
"Final Lap Special","US","Driving,Racing,Arcade","Final Lap Special is a Driving game, developed by Soft Machine and published by Bandai,which was released in Japan in 2001.","n/a","4.0","n/a","Soft Machine","Nov 15, 2001 ","http://www.gamefaqs.com/wsc/566007-final-lap-special"
"Flash Koibito-Kun","US","Miscellaneous,Puzzle,General","Flash Koibito-Kun is a Miscellaneous game, developed by Koto and published by Koubunsha,which was released in Japan in 2000.","n/a","6.5","n/a","Koto","Dec 28, 2000 ","http://www.gamefaqs.com/wsc/580422-flash-koibito-kun"
"Front Mission","US","Strategy,Turn-Based,Sci-Fi","Discover the origins of the Front Mission series in this explosive handheld saga that was never before localized for North America. Reborn exclusively on the Nintendo DS, Front Mission introduces exciting new features, such as dual screen presentation and multiplayer modes, that update the classic that gave birth to seven beloved sequels. Using Touch Screen functionality, players command a squad of customizable mechs known as wanzers and direct them through turn-based skirmishes across the battlefields of the 21st century.","n/a","9.0","n/a","SquareSoft","Jul 12, 2002 ","http://www.gamefaqs.com/wsc/580425-front-mission"
"Gekitou! Crash Gear Turbo: Gear Champion League","US","Action,General","Gekitou! Crash Gear Turbo: Gear Champion League is an Action game, developed and published by Bandai,which was released in Japan in 2002.","n/a","n/a","n/a","Bandai","Aug 10, 2002 ","http://www.gamefaqs.com/wsc/582343-gekitou-crash-gear-turbo-gear-champion-league"
"Gensou Maden Saiyuuki Retribution: Hi no Ataru Basho De","US","Role-Playing,General","Gensou Maden Saiyuuki Retribution: Hi no Ataru Basho De is a Role-Playing game, developed by PicPac-Airreal and published by Mubik,which was released in Japan in 2001.","n/a","7.0","n/a","PicPac-Airreal","Jun7, 2001 ","http://www.gamefaqs.com/wsc/581513-gensou-maden-saiyuuki-retribution-hi-no-ataru"
"Golden Axe","US","Action,Beat-'Em-Up","Golden Axe is an Action game, developed and published by Bandai,which was released in Japan in 2002.","6.0","7.0","n/a","Bandai","Feb 28, 2002 ","http://www.gamefaqs.com/wsc/566157-golden-axe"
"Gransta Chronicle","US","Role-Playing,General","Gransta Chronicle is a Role-Playing game, developed by Tom Create and published by Omega Micott,which was released in Japan in 2002.","n/a","9.0","n/a","Tom Create","Jun 13, 2002 ","http://www.gamefaqs.com/wsc/566544-gransta-chronicle"
"Guilty Gear Petit","US","Action,Fighting,2D","Guilty Gear Petit is an Action game, developed by Arc System Works and published by Sammy Studios,which was released in Japan in 2001.","n/a","7.8","n/a","Arc System Works","Jan 25, 2001 ","http://www.gamefaqs.com/wsc/580438-guilty-gear-petit"
"Guilty Gear Petit 2","US","Action,Fighting,2D","Guilty Gear Petit 2 is an Action game, developed by Arc System Works and published by Sammy Studios,which was released in Japan in 2001.","7.5","9.3","n/a","Arc System Works","Sep 27, 2001 ","http://www.gamefaqs.com/wsc/563020-guilty-gear-petit-2"
"Gunpey EX","US","Miscellaneous,Puzzle,General","Gunpey EX is a Miscellaneous game, developed by TOSE and published by Bandai,which was released in Japan in 2000.","n/a","10.0","n/a","TOSE","Dec9, 2000 ","http://www.gamefaqs.com/wsc/579966-gunpey-ex"
"Hanjuku Eiyuu: Aa, Sekaiyo Hanjukunare...!!","US","Role-Playing,General","Hanjuku Eiyuu: Aa, Sekaiyo Hanjukunare...!! is a Role-Playing game, developed by Sting and published by SquareSoft,which was released in Japan in 2002.","n/a","n/a","n/a","Sting","Feb 14, 2002 ","http://www.gamefaqs.com/wsc/566011-hanjuku-eiyuu-aa-sekaiyo-hanjukunare"
"Higashikaze Shou","US","Strategy,Breeding/Constructing","Higashikaze Shou is a Strategy game, developed and published by Bandai,which was cancelled before it was released.","","","","Bandai","Canceled ","http://www.gamefaqs.com/wsc/581505-higashikaze-shou"
"Hunter X Hunter: Greed Island","US","Role-Playing,General","Hunter X Hunter: Greed Island is a Role-Playing game, developed by Access and published by Bandai,which was released in Japan in 2003.","n/a","8.3","n/a","Access","Apr 24, 2003 ","http://www.gamefaqs.com/wsc/583475-hunter-x-hunter-greed-island"
"Hunter X Hunter: Michibi Kareshi Mono","US","Role-Playing,General","Hunter X Hunter: Michibi Kareshi Mono is a Role-Playing game, developed by Access and published by Bandai,which was released in Japan in 2001.","n/a","7.0","n/a","Access","Aug 23, 2001 ","http://www.gamefaqs.com/wsc/563021-hunter-x-hunter-michibi-kareshi-mono"
"Hunter X Hunter: Sorezore no Ketsui","US","Role-Playing,General","Hunter X Hunter: Sorezore no Ketsui is a Role-Playing game, developed by Access and published by Bandai,which was released in Japan in 2001.","n/a","7.5","n/a","Access","Apr 26, 2001 ","http://www.gamefaqs.com/wsc/580697-hunter-x-hunter-sorezore-no-ketsui"
"Inuyasha 2","US","Adventure,General","Inuyasha 2 is an Adventure game, developed and published by Bandai,which was cancelled before it was released.","","","","Bandai","Canceled ","http://www.gamefaqs.com/wsc/566543-inuyasha-2"
"Inuyasha: Fuuun Emaki","US","Adventure,General","Inuyasha: Fuuun Emaki is an Adventure game, developed and published by Bandai,which was released in Japan in 2002.","n/a","7.1","n/a","Bandai","Jul 27, 2002 ","http://www.gamefaqs.com/wsc/582259-inuyasha-fuuun-emaki"
"Inuyasha: Kagome no Sengoku Nikki","US","Role-Playing,Console-style RPG","Inuyasha: Kagome no Sengoku Nikki is a Role-Playing game, developed and published by Bandai,which was released in Japan in 2001.","9.0","8.0","n/a","Bandai","Nov2, 2001 ","http://www.gamefaqs.com/wsc/565452-inuyasha-kagome-no-sengoku-nikki"
"Inuyasha: Kagome no Yume Nikki","US","Role-Playing,Console-style RPG","Inuyasha: Kagome no Yume Nikki is a Role-Playing game, developed by Tomcat System and published by Bandai,which was released in Japan in 2002.","n/a","8.0","n/a","Tomcat System","Nov 16, 2002 ","http://www.gamefaqs.com/wsc/582950-inuyasha-kagome-no-yume-nikki"
"Judgement Silversword: Rebirth Edition","US","Action,Shooter,Scrolling","Judgement Silversword: Rebirth Edition is an Action game, developed by Qute and published by M-Kai,which was released in Japan in 2004.","n/a","8.7","n/a","Qute","Feb2, 2004 ","http://www.gamefaqs.com/wsc/929129-judgement-silversword-rebirth-edition"
"Kidou Senshi Gundam Seed","US","Action,Shooter,Scrolling","Kidou Senshi Gundam Seed is an Action game, developed and published by Bandai,which was released in Japan in 2003.","9.0","n/a","n/a","Bandai","Mar 15, 2003 ","http://www.gamefaqs.com/wsc/583207-kidou-senshi-gundam-seed"
"Kidou Senshi Gundam Vol. 1 SIDE7","US","Strategy,Breeding/Constructing","Kidou Senshi Gundam Vol. 1 SIDE7 is a Strategy game, developed by iNPLAS and published by Bandai,which was released in Japan in 2001.","n/a","n/a","n/a","iNPLAS","Feb1, 2001 ","http://www.gamefaqs.com/wsc/580427-kidou-senshi-gundam-vol-1-side7"
"Kidou Senshi Gundam Vol. 2 Jaburo","US","Strategy,General","Kidou Senshi Gundam Vol. 2 Jaburo is a Strategy game, developed and published by Bandai,which was released in Japan in 2001.","n/a","7.0","n/a","Bandai","Aug 16, 2001 ","http://www.gamefaqs.com/wsc/563041-kidou-senshi-gundam-vol-2-jaburo"
