"Title","Genres","Description","GameFAQs_Reader_Rating","GameFAQs_Rating","MetaCritics_MetaScore","Developer","ReleaseDate","ReferenceURL",
"Baby Jo: The Super Hero","Action,Platformer,2D","Baby Jo: The Super Hero is an Action game, developed by Loriciels and published by Micro World,which was released in Japan in 1992.","n/a","n/a","n/a","Loriciels","Aug 28, 1992 ","http://www.gamefaqs.com/turbocd/589204-baby-jo-the-super-hero"
"Bakuden Unbalance Zone","Adventure,General","Bakuden Unbalance Zone is an Adventure game, published by Sony Music Entertainment Incorporated,which was released in Japan in 1994.","n/a","n/a","n/a","Sony Music Entertainment Incorporated","Apr 22, 1994 ","http://www.gamefaqs.com/turbocd/589205-bakuden-unbalance-zone"
"Bakushou Yoshimoto Shingeki","Action,General","Bakushou Yoshimoto Shingeki is an Action game, developed and published by Hudson,which was released in Japan in 1994.","n/a","6.3","n/a","Hudson","Jan3, 1994 ","http://www.gamefaqs.com/turbocd/589206-bakushou-yoshimoto-shingeki"
"Basted","Role-Playing,Console-style RPG","Basted is a Role-Playing game, published by NEC Avenue,which was released in Japan in 1994.","n/a","6.0","n/a","NEC Avenue","Oct 21, 1994 ","http://www.gamefaqs.com/turbocd/589208-basted"
"Bazaru de Gozaru No Game Degozaru","Miscellaneous,Puzzle,General","Bazaru de Gozaru No Game Degozaru is a Miscellaneous game, developed by Game Freak and published by NEC Interchannel,which was released in Japan in 1996.","n/a","n/a","n/a","Game Freak","Jul 26, 1996 ","http://www.gamefaqs.com/turbocd/589212-bazaru-de-gozaru-no-game-degozaru"
"Beyond Shadowgate","Adventure,General","As the last descendant in the &quot;Line of Kings&quot;, Prince Erik is summoned home to regain his rightful place on his father's throne. But alas, Prince Erik is accused of his father's murder by the evil Royal Advisor Belezaar, and is thrown into the dungeon to be executed at dawn. Your mission and destiny are intertwined. Escape the dungeon and start your long journey toward the land deep within Castle Shadowgate. Your quest is to free the kingdom from the evil grips of the Warlock Lord. You will need to make good use of all the resources you can find throughout your journey. Evil abounds, and creatures great and small will try to defeat you! Use the good that comes of it because the Legend of Shadowgate rests in your hands!","9.0","8.1","n/a","ICOM Simulations","1993 ","http://www.gamefaqs.com/turbocd/589213-beyond-shadowgate"
"Bikkuriman Daijikai","Miscellaneous,General","Bikkuriman Daijikai is a Miscellaneous game, developed and published by Hudson,which was released in Japan in 1988.","n/a","6.0","n/a","Hudson","Dec 23, 1988 ","http://www.gamefaqs.com/turbocd/589215-bikkuriman-daijikai"
"Bishoujo Senshi Sailor Moon","Action,Beat-'Em-Up","Bishoujo Senshi Sailor Moon is an Action game, published by Banpresto,which was released in Japan in 1994.","n/a","7.0","n/a","Banpresto","Aug5, 1994 ","http://www.gamefaqs.com/turbocd/563781-bishoujo-senshi-sailor-moon"
"Bishoujo Senshi Sailor Moon Collection","Miscellaneous,General","Bishoujo Senshi Sailor Moon Collection is a Miscellaneous game, published by Banpresto,which was released in Japan in 1994.","n/a","6.0","n/a","Banpresto","Nov 25, 1994 ","http://www.gamefaqs.com/turbocd/563782-bishoujo-senshi-sailor-moon-collection"
"Black Hole Assault","Action,General","Black Hole Assault is an Action game, published by Micronet,which was released in Japan in 1993.","n/a","n/a","n/a","Micronet","Jul 23, 1993 ","http://www.gamefaqs.com/turbocd/589217-black-hole-assault"
"Blood Gear","Action,General","Blood Gear is an Action game, developed by West One and published by Hudson,which was released in Japan in 1994.","8.5","7.0","n/a","West One","Oct 28, 1994 ","http://www.gamefaqs.com/turbocd/589218-blood-gear"
"Bomberman: Panic Bomber","Miscellaneous,Puzzle,Stacking","Bomberman: Panic Bomber is a Miscellaneous game, published by Hudson,which was released in Japan in 1994.","n/a","6.3","n/a","Hudson","Dec 22, 1994 ","http://www.gamefaqs.com/turbocd/563719-bomberman-panic-bomber"
"Bonanza Bros.","Action,General","Bonanza Bros. is an Action game, published by NEC Interchannel,which was released in Japan in 1992.","n/a","n/a","n/a","NEC Interchannel","Jul 31, 1992 ","http://www.gamefaqs.com/turbocd/589219-bonanza-bros"
"Bonk 3: Bonk's Big Adventure CD","Action,Platformer,2D","Bonk 3: Bonk's Big Adventure CD is an Action game, developed by Hudson and published by Turbo Technologies, Inc.,which was released in 1994.","9.0","8.2","n/a","Hudson","December 1994 ","http://www.gamefaqs.com/turbocd/589220-bonk-3-bonks-big-adventure-cd"
"Brandish","Role-Playing,Action RPG","Brandish is a Role-Playing game, developed and published by NEC Interchannel,which was released in Japan in 1994.","n/a","7.0","n/a","NEC Interchannel","Jun 17, 1994 ","http://www.gamefaqs.com/turbocd/589221-brandish"
"Browning","Action,General","Browning is an Action game, published by Nippon Telenet,which was released in Japan in 1992.","n/a","n/a","n/a","Nippon Telenet","Feb7, 1992 ","http://www.gamefaqs.com/turbocd/589222-browning"
"Builderland","Miscellaneous,Puzzle,General","Builderland is a Miscellaneous game, developed by Loriciels and published by Micro World,which was released in Japan in 1992.","n/a","n/a","n/a","Loriciels","Apr1, 1992 ","http://www.gamefaqs.com/turbocd/589223-builderland"
"Burai II: Yami Koutei no Gyakushuu","Role-Playing,General","Burai II: Yami Koutei no Gyakushuu is a Role-Playing game, published by River Hill Software,which was released in Japan in 1992.","n/a","6.0","n/a","River Hill Software","Dec 18, 1992 ","http://www.gamefaqs.com/turbocd/589225-burai-ii-yami-koutei-no-gyakushuu"
"Burai: Hachigyoku no Yuushi Densetsu","Role-Playing,General","Burai: Hachigyoku no Yuushi Densetsu is a Role-Playing game, published by River Hill Software,which was released in Japan in 1991.","n/a","n/a","n/a","River Hill Software","Aug6, 1991 ","http://www.gamefaqs.com/turbocd/589226-burai-hachigyoku-no-yuushi-densetsu"
"Buster Bros.","Action,Shooter,Scrolling","Buster Bros. is an Action game, developed and published by Hudson,which was released in Japan in 1991.","n/a","7.0","n/a","Hudson","1993 ","http://www.gamefaqs.com/turbocd/589228-buster-bros"
"CAL II","Adventure,General","CAL II is an Adventure game, published by NEC Interchannel,which was released in Japan in 1993.","n/a","n/a","n/a","NEC Interchannel","Mar 31, 1993 ","http://www.gamefaqs.com/turbocd/589229-cal-ii"
"CAL III: Kanketsuhen","Adventure,General","CAL III: Kanketsuhen is an Adventure game, developed and published by NEC Avenue,which was released in Japan in 1994.","n/a","n/a","n/a","NEC Avenue","Mar 25, 1994 ","http://www.gamefaqs.com/turbocd/589230-cal-iii-kanketsuhen"
"Camp California","Action,Platformer,2D","Camp California is an Action game, developed by ICOM Simulations and published by Turbo Technologies, Inc.,which was released in 1993.","n/a","n/a","n/a","ICOM Simulations","1993 ","http://www.gamefaqs.com/turbocd/589231-camp-california"
"Card Angels","Miscellaneous,Board Games","Card Angels is a Miscellaneous game, developed and published by Fujicom,which was released in Japan in 1994.","n/a","6.0","n/a","Fujicom","Dec9, 1994 ","http://www.gamefaqs.com/turbocd/589232-card-angels"
"Where in the World is Carmen Sandiego?","Adventure,General","Where in the World is Carmen Sandiego? is an Adventure game, developed by Office Koukan and published by Pack-In-Video,which was released in Japan in 1990.","n/a","5.0","n/a","Office Koukan","Mar 30, 1990 ","http://www.gamefaqs.com/turbocd/916160-where-in-the-world-is-carmen-sandiego"
